title,release_date,id,imdb_id
The Zone of Interest,2023-12-15,467244,tt7160372
The Bricklayer,2023-12-14,927107,tt2016303
Free Guy,2021-08-11,550988,tt6264654
Godzilla vs. Kong,2021-03-24,399566,tt5034838
Leo,2023-11-17,1075794,tt5755238
Luck,2022-08-05,585511,tt7214954
Creed III,2023-03-01,677179,tt11145118
Through My Window 3: Looking at You,2024-02-23,1139566,tt28105944
Cruella,2021-05-26,337404,tt3228774
Uncharted,2022-02-10,335787,tt1464335
Girl in the Basement,2021-02-27,801335,tt13269536
Arthur the King,2024-03-15,618588,tt10720352
Noryang: Deadly Sea,2023-12-20,660360,tt22813112
One Piece Film Red,2022-08-06,900667,tt16183464
Fall,2022-08-11,985939,tt15325794
Everything Everywhere All at Once,2022-03-24,545611,tt6710474
The King's Man,2021-12-22,476669,tt6856242
Scream,2022-01-12,646385,tt11245972
Ghosted,2023-04-18,868759,tt15326988
Raya and the Last Dragon,2021-03-03,527774,tt5109280
Through My Window,2022-02-04,818647,tt14463484
Upgraded,2024-02-07,1014590,tt21830902
"Ruby Gillman, Teenage Kraken",2023-06-28,1040148,tt27155038
Damaged,2024-04-12,1105407,tt27304026
Am I OK?,2024-06-11,641934,tt11225626
After Ever Happy,2022-08-24,744276,tt13070038
Wrong Turn,2021-01-26,630586,tt9110170
Carl's Date,2023-06-15,1076364,tt26736061
No Time to Die,2021-09-29,370172,tt2382320
Nowhere,2023-09-29,1151534,tt15789472
Ghostbusters: Afterlife,2021-11-18,425909,tt4513678
Ant-Man and the Wasp: Quantumania,2023-02-15,640146,tt10954600
Sound of Freedom,2023-07-03,678512,tt7599146
The Conjuring: The Devil Made Me Do It,2021-05-25,423108,tt7069210
Retribution,2023-08-23,762430,tt6906292
Imaginary,2024-03-06,1125311,tt26658104
Death Whisperer,2023-10-25,1134433,tt29609422
Space Jam: A New Legacy,2021-07-08,379686,tt3554046
The Marksman,2021-01-15,634528,tt6902332
Project Wolf Hunting,2022-09-21,799379,tt15575470
The Pope's Exorcist,2023-04-05,758323,tt13375076
Sixty Minutes,2024-01-19,1212073,tt29538571
Baghead,2023-12-28,845783,tt14030816
Attack,2022-04-01,799155,tt7529298
No Hard Feelings,2023-06-15,884605,tt15671028
Robot Dreams,2023-12-06,838240,tt13429870
The Last Voyage of the Demeter,2023-08-09,635910,tt1001520
Sisu,2022-09-09,840326,tt14846026
"Red, White & Royal Blue",2023-07-27,930094,tt10172266
Mothers' Instinct,2024-01-11,758679,tt13397574
One Week Friends,2022-06-18,945675,tt17506728
The Thundermans Return,2024-03-07,1094556,tt26943420
Chicken Run: Dawn of the Nugget,2023-12-08,520758,tt8337264
Black Widow,2021-01-01,497698,tt3480822
Muzzle,2023-09-29,939335,tt17663876
The Exorcism of God,2022-03-11,836225,tt10362566
After We Fell,2021-09-01,744275,tt13069986
All Quiet on the Western Front,2022-10-07,49046,tt1016150
Eternals,2021-11-03,524434,tt9032400
Bullet Train,2022-08-03,718930,tt12593682
Smile,2022-09-23,882598,tt15474916
Bob Marley: One Love,2024-02-14,802219,tt8521778
The Boss Baby: Family Business,2021-07-01,459151,tt6932874
Mother of the Bride,2024-05-08,1093231,tt26926267
Fantastic Beasts: The Secrets of Dumbledore,2022-04-06,338953,tt4123432
Silent Night,2023-11-30,891699,tt15799866
RRR,2022-03-24,579974,tt8178634
Jawan,2023-09-07,872906,tt15354916
Cocorico,2024-02-07,973912,tt19381382
A Family Affair,2024-06-27,987686,tt21051906
Leave the World Behind,2023-11-22,726209,tt12747748
Perfect Days,2023-11-10,976893,tt27503384
PAW Patrol: The Movie,2021-08-09,675445,tt11832046
The Matrix Resurrections,2021-12-16,624860,tt10838180
Knights of the Zodiac,2023-04-27,455476,tt6528290
Sayen: The Huntress,2024-04-26,850888,tt32063728
Society of the Snow,2023-12-15,906126,tt16277242
X,2022-03-17,760104,tt13560574
Saw X,2023-09-27,951491,tt21807222
A Little Something Extra,2024-04-18,1152014,tt30795948
City Hunter,2024-04-24,1061990,tt24478470
The Holdovers,2023-10-27,840430,tt14849194
Monster,2023-06-02,1050035,tt23736044
Insidious: The Red Door,2023-07-05,614479,tt13405778
The Ice Age Adventures of Buck Wild,2022-01-28,774825,tt13634480
Dogman,2023-09-27,944401,tt17009348
When Evil Lurks,2023-10-05,744857,tt16300962
Redeeming Love,2022-01-21,698508,tt11365186
Black Clover: Sword of the Wizard King,2023-06-16,812225,tt22868844
Deep Fear,2023-10-18,899445,tt14865406
Last Summer,2023-09-13,812037,tt14550346
Sleeping Dogs,2024-03-21,978592,tt8542964
Extraction 2,2023-06-09,697843,tt12263384
The Courier,2024-01-19,1148713,tt27050277
The Exorcist: Believer,2023-10-04,807172,tt12921446
Through My Window: Across the Sea,2023-06-23,988078,tt21245882
South Park: The End of Obesity,2024-05-24,1290938,tt32375562
Suzume,2022-11-11,916224,tt16428256
Resident Evil: Death Island,2023-06-22,1083862,tt26674627
Hidden Strike,2023-07-06,457332,tt6879446
Deep Water,2022-03-18,619979,tt2180339
Role Play,2023-12-14,848187,tt12964320
Air Force One Down,2024-02-09,1124127,tt27708700
Anatomy of a Fall,2023-08-23,915935,tt17009710
Moonfall,2022-02-03,406759,tt5834426
Hocus Pocus 2,2022-09-30,642885,tt11909878
The Iron Claw,2023-12-21,850165,tt21064584
Babylon,2022-12-22,615777,tt10640346
65,2023-03-02,700391,tt12261776
Thanksgiving,2023-11-16,1071215,tt1448754
That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,2022-11-25,876792,tt15467380
The First Slam Dunk,2022-12-03,783675,tt15242330
Beautiful Disaster,2023-04-04,1016121,tt2316548
The Painter,2024-01-05,1211957,tt30253266
Infinite,2021-09-09,581726,tt6654210
Wifelike,2022-08-12,1001835,tt15978956
Tom & Jerry,2021-02-10,587807,tt1361336
The Monkey King: Reborn,2021-04-02,811634,tt14391088
Arcadian,2024-04-12,1051896,tt22939186
Colors of Evil: Red,2024-05-29,1115395,tt27578157
Kandahar,2023-05-25,717930,tt5761544
One Life,2023-12-21,760774,tt13097932
Night Swim,2024-01-03,1072342,tt9682428
Decision to Leave,2022-06-29,705996,tt12477480
May December,2023-11-16,839369,tt13651794
Strays,2023-08-17,912908,tt15153532
The Roundup,2022-05-18,619803,tt15838850
CODA,2021-08-13,776503,tt10366460
The Black Phone,2022-06-22,756999,tt7144666
Teen Wolf: The Movie,2023-01-18,877703,tt15486810
Hard Hit,2021-06-23,654739,tt14980972
Glass Onion: A Knives Out Mystery,2022-11-12,661374,tt11564570
Operation Fortune: Ruse de Guerre,2023-01-04,739405,tt7985704
Dead for a Dollar,2022-09-30,843380,tt14895206
Harry Potter 20th Anniversary: Return to Hogwarts,2022-01-01,899082,tt16116174
No One Will Save You,2023-09-22,820609,tt14509110
A Man Called Otto,2022-12-28,937278,tt7405458
Space Cadet,2024-07-04,1019411,tt21469794
Sniper: The White Raven,2022-05-03,966220,tt19465630
Army of the Dead,2021-05-14,503736,tt0993840
Spiral: From the Book of Saw,2021-05-12,602734,tt10342730
Family Switch,2023-11-30,798021,tt14227048
Infested,2023-12-27,1063879,tt26744289
Art of Love,2024-03-13,1248795,tt28355490
Lights Out,2024-02-16,931642,tt16368898
Animal,2023-12-01,781732,tt13751694
Pearl,2022-09-16,949423,tt18925334
Ricky Stanicky,2024-02-21,1022690,tt1660648
The Forever Purge,2021-06-30,602223,tt10327252
Memory,2022-04-28,818397,tt11827628
Past Lives,2023-06-02,666277,tt13238346
The Voyeurs,2021-08-25,645710,tt11235772
Plane,2023-01-12,646389,tt5884796
The Palace,2023-09-28,824016,tt14549270
Acid,2023-09-20,852445,tt17569526
Morbius,2022-03-30,526896,tt5108870
Snake Eyes: G.I. Joe Origins,2021-07-22,568620,tt8404256
The Outfit,2022-02-25,799876,tt14114802
Mortal Kombat,2021-04-07,460465,tt0293429
"The Pig, the Snake and the Pigeon",2023-10-06,1046090,tt29319990
Don't Breathe 2,2021-08-12,482373,tt6246322
The School for Good and Evil,2022-10-19,779782,tt2935622
Those Who Wish Me Dead,2021-05-05,578701,tt3215824
Halloween Ends,2022-10-12,616820,tt10665342
Aftersun,2022-10-21,965150,tt19770238
Saltburn,2023-11-16,930564,tt17351924
Red Notice,2021-11-04,512195,tt7991608
The Wandering Earth II,2023-01-22,842675,tt13539646
4 Horsemen: Apocalypse,2022-04-29,969686,tt19766560
The Bad Guys,2022-03-17,629542,tt8115900
Violent Night,2022-11-30,899112,tt12003946
F9,2021-05-19,385128,tt5433138
Heart of Stone,2023-08-09,724209,tt13603966
Eileen,2023-12-01,664341,tt5198890
